3080,博弈,晋升考核,皇后考察各位贵人的内务处理能力。,整理账目井井有条,心机,120,你展现了非凡的统筹能力，皇后首肯。,"心机+30;声望+30",你算错了一笔大账。,"声望-60",展示宫人管理之法,声望,115,你宫里人人守礼，太后大加赞赏。,"声望+15;心机+30",被指责御下过严，刻薄寡恩。,"声望-40",0
剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
3081,日常,研磨新茶,你得到了一包上好的雨前龙井，正思索如何烹煮。,用梅花雪水烹煮,才情,115,皇上饮后觉齿颊留香，赞你品位高洁。,"圣宠+20;才情+30",雪水未滤净，茶汤浑浊。,"圣宠-20",制成茶点送去,心机,100,皇上批阅奏章时品尝，倍感舒心。,"圣宠+15;心机+20",茶点太甜腻，皇上不喜。,"体质-10",1
3082,机遇,画师进宫,宫廷画师要为贵人以上的嫔妃画像进呈皇上。,重金贿赂画师,心机,110,画师将你画得如仙女下凡，皇上当晚翻了你的牌子。,"圣宠+30;心机+30",行贿被揭发，皇上认为你虚伪。,"声望-60",亲自修改细节,容貌,115,你微调了妆容，画中人更显灵动。,"圣宠+25;容貌+20",改得画蛇添足，反而不如原画。,"容貌-10",1
3083,博弈,姐妹嫌隙,一位平日交好的贵人突然在背后散布你的流言。,当面拆穿对证,声望,110,你气场强大令其羞愧低头，流言不攻自破。,"声望+20;心机+20",你言辞过激，皇上觉得你泼辣。,"圣宠-40",暗中送礼化解,心机,105,你用利益封了她的口，并掌握了她的把柄。,"心机+15;声望+10",她觉得你软弱，变本加厉。,"声望-30",0
3084,日常,御花园漫步,你在假山后听见两名小宫女在议论某位高位妃子的秘密。,上前喝止惩戒,声望,105,你维护了宫廷规矩，受到皇后赞许。,"声望+10;心机+10",你被宫女记恨，反遭诬告。,"声望-30",悄悄记下并离开,心机,115,你掌握了一个足以自保或反击的重要情报。,"心机+25",你踩到枯枝被发现，场面尴尬。,"心机-20",0
3085,机遇,圣驾赏花,皇上在牡丹亭赏花，命你题诗一首。,写下花人合一的佳句,才情,120,皇上拍案叫绝，称你是“花中之王”。,"圣宠+35;才情+15",诗句平庸，甚至有些词不达意。,"圣宠-30",以舞姿伴花香,容貌,115,你如蝴蝶穿花，皇上看痴了。,"圣宠+30;容貌+30",你花粉过敏，当场打喷嚏。,"容貌-10;圣宠-20",1
3086,博弈,宴会位置,内务府将你在中秋宴的位置排在了末席，明显有猫腻。,隐忍不言照坐,心机,110,皇上见你受委屈，亲自招你坐到身边。,"圣宠+15;心机+30",你被众人冷落，整晚郁郁寡欢。,"声望-40",找借口称病离席,体质,100,你成功避开了尴尬，皇上深夜探望。,"圣宠+20;体质-20",皇上觉得你恃宠而骄不识大体。,"圣宠-50",0
3087,日常,练习书法,你在宣纸上反复书写“平顺”二字。,请皇上共同落款,才情,110,皇上赞你心境平和，与你共叙情长。,"圣宠+20;才情+30",皇上正心烦，觉得你无聊。,"圣宠-20",制成书签赠人,声望,100,你赢得了其他嫔妃的好感。,"声望+10",被指责书法低劣，丢人现眼。,"声望-20",0
3088,机遇,太后赠宝,太后赏赐你一对玉镯，却不小心被你磕了一个裂痕。,请匠人金镶玉,心机,110,镯子变得更加华贵，太后赞你机敏。,"心机+10;声望+30",修补痕迹太明显。,"声望-50",如实向太后请罪,声望,115,太后念你诚实，不仅没怪罪还补了一对。,"声望+30;圣宠+10",太后觉得你毛躁。,"声望-40",0
3089,博弈,高位拉拢,一位得宠的妃子想让你帮她监视皇上的去向。,假意答应周旋,心机,120,你两头拿好处，且未暴露身份。,"心机+25;声望+20",你被皇上发现，被打入冷宫。,"死亡",严辞拒绝并举报,声望,115,皇上赞你忠诚，对你更加信任。,"圣宠+15;声望+25",你遭到了该妃子的疯狂报复。,"死亡",0
3090,日常,整理庭院,你想在自己宫中种一棵石榴树。,亲自下地劳作,体质,105,皇上见你满头大汗却充满生气，心生怜爱。,"圣宠+15;体质+20",你累坏了腰，躺了半个月。,"体质-40",指挥太监布置,心机,95,庭院焕然一新，极具美感。,"心机+20;声望+20",管理不当，太监偷懒。,"声望-10",0
3091,机遇,圣驾临门,皇上突然到访，正好你在吃家乡的粗粮点心。,邀皇上一同品尝,容貌,110,皇上觉得新鲜有趣，忆起儿时情景。,"圣宠+25;容貌+10",皇上觉得点心剌嗓子，不喜。,"圣宠-30",赶紧收起谢罪,心机,100,皇上觉得你懂分寸，赏了你御膳。,"圣宠+10;心机+20",皇上觉得你跟他生分。,"圣宠-20",1
3092,日常,缝制寝衣,你为皇上缝制了一件贴身寝衣。,绣上暗纹真龙,才情,115,皇上穿上后觉得无比贴身，赞你手巧。,"圣宠+25;才情+30",针脚里落了根针，扎到了皇上。,"圣宠-100",选用最软的料子,心机,100,皇上睡得极其安稳。,"圣宠+20;体质+10",料子太薄，皇上着凉了。,"圣宠-40",1
3093,博弈,宫闱流言,有人传你家父在地方官任上贪墨。,上折子替父辩冤,才情,120,你文采斐然，皇上查明真相后加封了你。,"圣宠+20;声望+30",言辞激烈，皇上觉得你在施压。,"死亡",在雨中长跪不起,体质,115,皇上心软，亲自扶你起来并彻查。,"圣宠+15;体质-50",你冻晕了皇上也没理你。,"死亡",0
3094,日常,练习香道,你调制了一种能驱散蚊虫且香味清幽的香料。,在御花园当众演示,容貌,115,皇上被香气和你的人吸引，赞不绝口。,"圣宠+30;容貌+20",香料引来了蜜蜂，全场乱窜。,"声望-50",私下献给皇后,声望,110,皇后觉得你很懂事，赏了你布料。,"声望+20;心机+20",皇后觉得你想暗害她。,"死亡",0
3095,死局,谋刺疑云,你发现自己的膳食被人换了，似乎是某种慢性毒药。,收集残渣找太医,心机,120,你不仅保住了命，还顺藤摸瓜抓到真凶。,"心机+30;声望+15",太医被收买了，反说你在做戏。,"死亡",将食物喂给猫吃,声望,100,猫当场毙命，你成功自证。,"声望+15;圣宠+10",皇上觉得你心狠手辣。,"圣宠-50",0
3096,机遇,秋季登高,皇上带众妃登高祈福，你需要自备一件披风。,展示绝美蜀绣披风,才情,115,你如仙女下凡，全宫瞩目。,"声望+25;才情+10",披风太长，你在台阶上摔倒。,"声望-40;容貌-10",帮皇上整理披风,心机,105,皇上赞你贤惠淑德。,"圣宠+20;心机+30",你被其他妃子挤开了。,"声望-20",0
3097,日常,古琴校音,你宫里的古琴断了一根弦。,尝试亲自动手换弦,体质,105,换完后音质更清亮，皇上大赏。,"体质+20;才情+20",琴弦断裂崩到了你的手。,"容貌-10;体质-10",请宫廷乐师修理,声望,95,你保持了优雅的体面。,"声望+20",你被乐师嘲笑不懂行。,"声望-10",0
3098,机遇,圣上赏画,皇上赏赐给你一幅前朝名画，问你画中意境。,分析其中忧国情怀,才情,125,皇上惊叹你的格局，引你为知己。,"才情+30;圣宠+30",你被指责妄言朝政。,"死亡",只夸画工精妙,心机,105,皇上觉得你单纯可爱。,"圣宠+15;心机+20",皇上觉得你胸无大志。,"圣宠-20",1
3099,博弈,新人挑衅,一名刚晋升的贵人仗着家世在花园里对你无礼。,以资历和礼法教训,声望,115,对方被你训得无话可说，全宫赞你稳重。,"声望+25;心机+20",对方哭着去找皇上，你被斥责。,"圣宠-50",微笑着送她一副头面,心机,110,你展现了大度，皇上觉得你更有风范。,"圣宠+25;声望+10",她觉得你在炫富羞辱她。,"心机-20",0
3100,死局,深夜火起,隔壁宫殿起火，火势蔓延至你处。,指挥宫人救火,声望,120,你临危不乱保护了皇室财产，晋升一级。,"声望+20;圣宠+30",你被浓烟呛晕在房内。,"死亡",带上金银首饰逃跑,心机,100,你保住了财产，但名声扫地。,"心机+15;声望-80",你被烧塌的房梁砸中。,"死亡",0
3101,机遇,御园春游,你在柳树下荡秋千，皇上正好在远处看着你。,荡得更高更美,容貌,120,皇上被你灵动的样子迷住了。,"圣宠+30;容貌+30",秋千绳索断了，你摔得很惨。,"体质-50",安静坐在秋千上发呆,才情,105,皇上觉得你像一幅静美的画。,"圣宠+20;才情+20",皇上没看到你，直接走了。,"圣宠-10",1
3102,日常,整理旧画,你发现一张皇上很久以前画的草稿。,精心装裱后送还,才情,115,皇上感念你如此细心，宠爱倍增。,"圣宠+25;才情+10",你不小心弄掉了一块墨迹。,"死亡",偷偷藏起来欣赏,心机,105,你掌握了皇上的审美偏好。,"心机+30",你被指控私藏御笔。,"死亡",0
3103,博弈,姐妹站队,两位妃子正在争夺一个协理六宫的名额。,支持更有胜算的一方,心机,120,你获得了一个强力的后台。,"声望+25;心机+10",该妃子突然失宠，你被连累。,"死亡",保持中立两不相帮,声望,110,你保全了名声和安全。,"声望+15;心机+30",两边都觉得你虚伪。,"声望-40",0
3104,日常,练习厨艺,你亲手做了一碗鸡汤面给皇上。,在面里加入秘制药材,体质,110,皇上喝完后精力充沛，大赞。,"圣宠+20;体质+20",药性相克，皇上肚子疼。,"圣宠-100",在面里摆出吉祥图案,才情,110,皇上被你的巧思逗笑了。,"圣宠+20;才情+20",面泡烂了。,"圣宠-10",1
3105,机遇,圣驾临门,皇上因前朝琐事心烦，想在你这里静静。,温柔推拿头部,体质,115,皇上在你手中得到了彻底的放松。,"圣宠+30;体质-20",你按疼了皇上。,"圣宠-40",静静陪他看书不语,心机,110,皇上赞你最是懂事。,"圣宠+25;心机+20",皇上觉得你冷落他。,"圣宠-20",1
3106,日常,刺绣屏风,你在绣一副巨大的《百鸟朝凤图》。,用罕见的孔雀羽线,才情,120,屏风华丽夺目，皇上将其移至正殿。,"声望+30;才情+20",你眼睛熬坏了。,"容貌-30;体质-30",请画师帮忙构图,心机,105,你顺利完成任务，获得赏赐。,"心机+30;声望+30",被指责弄虚作假。,"声望-40",0
3107,博弈,宴会夺魁,皇上让众人表演一种从未见过的才艺。,表演西域幻术,心机,120,皇上觉得新鲜无比，当场封你为嫔。,"圣宠+200;心机+15",穿帮了，皇上觉得你耍弄他。,"声望-100",表演自创的蒙眼写字,才情,115,这份定力让全场惊叹。,"才情+25;圣宠+30",字写得一团乱。,"圣宠-40",1
3108,死局,鸠酒危机,你被诬陷杀害了一名新晋秀女，皇上赐下药酒。,喝下并留下血书表白,容貌,125,皇上在最后一刻抢下杯子，相信了你。,"圣宠+30;容貌+15",你死在了皇上怀里。,"死亡",冷静分析凶手动机,心机,130,你靠智慧抓住了真凶，全宫敬佩。,"心机+15;声望+30",皇上没听完就让你喝。,"死亡",0
3109,日常,御花园观鱼,你在池边喂鱼，不小心把皇上御赐的戒指掉了进去。,跳进浅水区寻找,体质,115,你找回了戒指，皇上赞你情深意重。,"圣宠+25;体质-20",你滑倒受伤，戒指也没找到。,"容貌-20",请侍卫帮忙打捞,心机,110,你成功找回，且未失仪。,"心机+10;声望+20",你被指控私通侍卫。,"死亡",0
3110,机遇,皇帝噩梦,皇上梦见你离开了他，惊醒后紧紧抱住你。,深情回应并许诺不离,容貌,125,皇上对你的爱达到了顶峰。,"圣宠+250;容貌+30",皇上觉得你在敷衍他。,"圣宠-50",献上一枚亲制的护身符,心机,115,皇上觉得你最贴心。,"圣宠+15;心机+15",护身符做得很丑。,"圣宠-20",1
3111,日常,研制胭脂,你试图用名贵花卉研制一种不褪色的胭脂。,自己先涂抹尝试,容貌,115,你的肤色被衬托得极好，皇上惊艳。,"容貌+10;圣宠+15",你皮肤过敏红肿。,"容貌-60",送给皇后的贴身宫女,心机,110,你成功在皇后身边安插了眼线。,"心机+25",被对方识破举报。,"死亡",0
3112,博弈,封赏不公,皇后将属于你的位分晋升名额给了别人。,含笑祝贺对方,声望,120,皇上赞你大度，私下加倍补赏。,"声望+30;圣宠+25",你被所有人认为好欺负。,"声望-50",找太后主持公道,心机,115,太后插手，你拿回了属于自己的。,"声望+25;心机+15",太后觉得你爱搬弄是非。,"声望-60",0
3113,机遇,春日踏青,皇上在草地上放纸鸢，线断了。,亲自跑去捡回来,体质,115,你气喘吁吁的样子让皇上觉得很可爱。,"圣宠+20;体质+20",你摔了个狗啃泥。,"声望-30",题一首诗在纸鸢上送还,才情,110,皇上赞你才思敏捷。,"圣宠+25;才情+10",诗写得太悲伤。,"圣宠-30",1
3114,日常,修补孤本,皇上心爱的《山海经》插图模糊了。,凭借记忆重绘插图,才情,120,皇上大赞你画技超群，引为奇迹。,"才情+25;圣宠+30",你画成了四不像。,"死亡",建议皇上重买一本,心机,95,皇上觉得你很务实。,"心机+20",皇上觉得你糟蹋古籍。,"圣宠-20",0
3115,博弈,嫔妃投毒,你发现你的茶杯里有一丝奇怪的甜味。,假装喝下并查真凶,心机,125,你成功抓住了背后的主使。,"心机+35;声望+15",你真的喝下去了。,"死亡",直接打碎茶杯反击,声望,115,你保护了自己，但没能抓到人。,"声望+10",被指责御前失礼。,"圣宠-30",0
3116,日常,宫中礼仪,太后检查各位贵人的走路姿态。,展示最优雅的步态,容貌,115,太后赞你有名门风范，赏了珍珠。,"声望+25;容貌+20",你鞋底太高，崴了脚。,"声望-30",亲手奉上消暑饮品,心机,105,太后吃得很开心，夸你体贴。,"声望+20;心机+30",太后觉得你在谄媚。,"声望-20",0
3117,机遇,伴驾出巡,皇上要去视察水利，想带一名懂民情的妃子。,讲述家乡治水轶事,才情,115,皇上大受启发，带你一同前往。,"圣宠+15;才情+15",你编得太离谱，被识破。,"圣宠-50",表示能照顾皇上饮食,体质,110,皇上带上了你这个“贴身管家”。,"圣宠+30;体质-30",皇上嫌你碍事。,"圣宠-30",1
3118,死局,巫蛊之祸,你在对头床下发现了她诅咒皇上的木偶。,不动声色地调换成她的名讳,心机,130,她自食其果被罢黜，你成功上位。,"心机+20;声望+30",你被当场抓住。,"死亡",直接呈送给皇后,声望,120,你立了大功，获得晋升机会。,"声望+15;圣宠+30",被反诬是你放的。,"死亡",0
3119,日常,种植牡丹,你在园中种出一朵双色牡丹。,请皇上共同赏花,容貌,115,皇上觉得花美，人更娇。,"圣宠+25;容貌+20",皇上被蜜蜂蛰了。,"圣宠-50",献给太后寿辰,声望,120,太后大喜，封你为嫔。,"声望+200;心机+15",花在路上谢了。,"声望-50",1
3120,机遇,边疆捷报,皇上因大捷心情极好，在御花园大宴群臣。,即兴创作贺捷诗,才情,125,你才华横溢，皇上当众赏你珍珠冠。,"才情+30;声望+25",诗中用了不吉利的词。,"死亡",频繁举杯贺皇上,体质,110,皇上觉得你很豪爽。,"圣宠+25;体质-20",你喝醉了御前失仪。,"圣宠-40",1
剧情ID,剧情类型,标题,正文,选项1,选项1判定属性,选项1门槛,选项1成功文案,选项1成功效果,选项1失败文案,选项1失败效果,选项2,选项2判定属性,选项2门槛,选项2成功文案,选项2成功效果,选项2失败文案,选项2失败效果,是否侍寝
3121,日常,研习古法,你正在尝试复原前朝失传的“冷香丸”。,精选百花朝露,体质,110,你不仅复原成功，更觉身轻如燕，体带幽香。,"体质+10;容貌+20",采露时受凉，大病一场。,"体质-50",献给皇上调理,心机,105,皇上服后龙精虎猛，赞你功不可没。,"圣宠+25;心机+30",药性太冲，皇上流了鼻血。,"圣宠-30",1
3122,机遇,画作题词,皇上在书房绘出一幅《雪夜江山图》，邀你题词。,以宏大格局题词,才情,125,皇上惊叹你的见识远超一般女子。,"才情+25;圣宠+35",题词过于小家子气，皇上不悦。,"才情-20",以柔情蜜意题词,容貌,110,皇上揽你入怀，共话儿女情长。,"圣宠+30;容貌+20",题词中有错别字。,"声望-30",1
3123,博弈,贡品分配,今年进贡的南珠稀少，你与另一位贵人互不相让。,主动请皇上裁决,声望,120,皇上赞你坦荡，将整盘南珠都赐给了你。,"圣宠+15;声望+15",皇上嫌你为了琐事烦他。,"圣宠-40",设宴款待对方言和,心机,115,你赢得了大度名声，并让对方心生愧疚。,"声望+25;心机+10",对方觉得你在炫耀，当众翻脸。,"声望-40",0
3124,日常,练习骑射,你在西苑练习射箭，皇上恰好路过。,连中红心夺魁,体质,120,皇上被你的英姿折服，赐你汗血宝马。,"体质+15;圣宠+30",箭矢脱靶，险些误伤宫人。,"声望-50",请皇上亲自教导,容貌,110,两人同乘一骑，亲昵无比。,"圣宠+35;容貌+20",你从马上摔了下来。,"体质-40",1
3125,死局,深宫惊雷,你在花园撞见一名宫女正欲投井自尽。,冷静劝阻救人,声望,115,你救下的宫女竟是皇上寻找多年的恩人之后。,"声望+20;圣宠+30",宫女带着你一起坠入井中。,"死亡",立刻离开不沾祸水,心机,110,你避开了一场足以致命的宫廷内斗。,"心机+15",你被路过的妃子指控见死不救。,"死亡",0
3126,日常,琴茗雅会,你邀请了几位新入宫的小主来宫中品茶。,展示压倒性的琴艺,才情,120,众人皆对你敬畏有加，隐隐以你为首。,"声望+30;才情+15",琴弦中途断裂，寓意不佳。,"声望-40",悉心指点她们礼仪,心机,110,你成功培养了自己的势力。,"心机+20;声望+30",她们觉得你太爱摆谱。,"声望-20",0
3127,机遇,皇帝宿醉,皇上因边境纷争饮闷酒，宿在你宫中。,亲自熬制解酒羹,体质,110,皇上醒后头清目明，深感你的体贴。,"圣宠+25;体质-10",羹汤味道辛辣，皇上作呕。,"圣宠-40",温柔抚琴安神,才情,115,皇上在你的琴声中渐渐入睡，梦中唤你名字。,"圣宠+35;才情+10",琴声太吵，皇上大发雷霆。,"圣宠-50",1
3128,博弈,封赏之争,皇上欲晋升一名妃子，你与死对头都在候选名单。,展示过往功绩,声望,125,你名至实归，获得了众臣的支持。,"声望+20;圣宠+30",被指责贪功冒进。,"声望-50",暗中揭发对方私弊,心机,120,对方被剥夺资格，你顺利上位。,"心机+15;声望+15",你的行径被皇上发现。,"死亡",0
3129,日常,种植奇草,你在后院种下了一株会发光的夜来香。,请皇上深夜共赏,容貌,115,月光与花光辉映，皇上称你为月宫仙子。,"圣宠+35;容貌+30",引来了大量毒虫，吓坏了圣驾。,"圣宠-80",将其制成干花枕头,心机,105,皇上枕着花香入睡，夜夜梦见你。,"圣宠+30;心机+10",皇上对花粉过敏。,"体质-30",1
3130,机遇,太后赏雪,太后在冬日举办赏雪宴，命每人献上一份礼物。,奉上亲手织的暖阁帘,体质,115,太后赞你心思实诚，不仅保暖更显孝心。,"声望+15;圣宠+25",帘子透风，太后受了凉。,"声望-100",现场表演冰上舞,容貌,125,你如雪中精灵，皇上看呆了。,"圣宠+200;容貌+15",你滑倒后磕掉了门牙。,"容貌-80;声望-50",0
3131,日常,整理旧档案,你在卷宗里发现了一份关于某位妃子的家世秘密。,将其作为自保筹码,心机,125,你成功让那位妃子对你言听计从。,"心机+30;声望+15",秘密泄露，你被灭口。,"死亡",将其付之一炬,声望,110,你因不愿搬弄是非，反而得了皇上信任。,"圣宠+30;声望+25",你被指控毁坏宫廷卷宗。,"死亡",0
3132,机遇,春季大典,皇上要举行春耕仪式，带一名妃子同行。,展示农桑知识,才情,120,皇上赞你是懂民间疾苦的贤妃。,"声望+15;才情+20",你言辞空洞，被皇上识破。,"声望-30",不辞劳苦亲自播种,体质,125,你的勤劳感动了上苍，当天便有甘霖。,"圣宠+20;体质-40",你累晕在田里，耽误了吉时。,"声望-80",0
3133,博弈,内廷宴请,皇上命你接待番邦使臣的夫人。,展示大国风范,声望,120,使臣夫人对你大加赞赏，皇上倍感有面。,"声望+15;圣宠+30",你礼数不周，引得对方不满。,"声望-100",展示精湛刺绣,才情,115,你的作品被当作国礼赠送。,"才情+30;声望+25",你不小心刺破了手指，血染锦绣。,"声望-50",0
3134,日常,修补御画,皇上最爱的一幅山水图被水渍浸染。,巧妙勾勒掩盖痕迹,才情,125,修复后的画作更添意境，皇上龙颜大悦。,"圣宠+15;才情+25",你把画给改毁了。,"死亡",建议皇上重新临摹,心机,105,皇上觉得你很懂他的心意。,"圣宠+20;心机+30",皇上觉得你敷衍。,"圣宠-20",1
3135,死局,投毒迷雾,你的婢女被发现在你的井水里下药。,亲自审讯找出主使,心机,130,你不仅脱险，还反将一计除掉了劲敌。,"心机+200;声望+30",婢女当场自尽，证据指向你。,"死亡",向皇上哭诉求情,容貌,115,皇上被你的柔弱打动，亲自查办。,"圣宠+15;容貌+20",皇上觉得你是在包庇罪犯。,"死亡",0
3136,日常,研习舞谱,你在练习一曲难度极高的“掌中舞”。,在金盘上起舞,体质,125,你轻盈的身姿让皇上叹为观止。,"圣宠+10;体质+20",你从金盘上摔了下来。,"体质-60",配上哀婉的歌声,才情,115,皇上听得肝肠寸断。,"圣宠+30;才情+20",你嗓子唱破了。,"体质-20",1
3137,机遇,皇帝生辰,你要为皇上送上一份最特别的寿礼。,献上全宫刺绣万寿图,声望,130,全宫上下都感念你的组织能力，皇上大赏。,"声望+30;圣宠+15",由于分工不均，引发了宫斗。,"声望-100",献上一支亲制的玉笛,才情,120,笛声清脆，皇上爱不释手。,"圣宠+35;才情+25",笛子音准有问题。,"圣宠-40",1
3138,日常,整理内务,你宫中的开支突然超标，内务府前来质问。,出示详细账册自证,心机,120,你不仅证明了清白，还揭发了内务府的贪腐。,"心机+30;声望+15",账册丢失，你被指控挥霍无度。,"声望-100",变卖个人首饰填补,声望,110,皇上得知后心疼不已，赐了你更多珍宝。,"圣宠+15;声望+10",被指控私相授受。,"死亡",0
3139,博弈,宴会领座,中秋大宴，你被推举引导众位新人。,展示威严规矩,声望,125,新人们对你敬畏有加，规规矩矩。,"声望+15;心机+15",你过于严苛，惹得皇上觉得你刻薄。,"圣宠-100",以温柔姐姐身份示人,容貌,115,皇上赞你贤惠，有母仪之风。,"圣宠+30;容貌+20",新人抢了你的风头。,"圣宠-50",0
3140,机遇,边疆家信,你哥哥在边疆由于指挥失误，面临处分。,求皇上法外开恩,声望,130,皇上感念你往日情分，给了他将功补过的机会。,"声望+30;圣宠+15",被皇上斥责干政。,"死亡",亲自绣一副战旗鼓励,才情,120,哥哥深受鼓舞反败为胜，你晋升一级。,"圣宠+30;声望+20",战旗被敌方缴获。,"死亡",0
3141,日常,御花园漫步,你在假山后捡到了一只受伤的白孔雀。,精心照顾并放生,声望,120,白孔雀在太后面前开屏，你被指为祥瑞。,"声望+20;圣宠+30",孔雀死在你宫里，寓意大凶。,"声望-150",将其送予皇上赏玩,心机,115,皇上赞你不仅有爱心更有趣致。,"圣宠+25;心机+10",孔雀啄伤了皇上。,"死亡",1
3142,机遇,太后微恙,太后因苦暑没胃口，各宫都送去消暑甜点。,奉上家乡秘制凉糕,体质,115,太后吃后赞不绝口，直接赐你协理权。,"声望+15;体质-20",凉糕太寒，太后闹了肚子。,"死亡",在佛堂为太后祈福,声望,125,你的孝心传遍后宫，太后对你改观。,"声望+20;圣宠+15",你因体力不支晕倒，太后嫌你晦气。,"声望-50",0
3143,日常,研习香道,你调配出一种能让容颜短暂变美的神药。,给自己使用,容貌,130,皇上对你的新面貌如痴如醉。,"容貌+30;圣宠+15",药效过后你容颜受损。,"容貌-100",献给皇后使用,心机,125,你获得了皇后的终身信任。,"心机+15;声望+30",皇后过敏毁容。,"死亡",0
3144,博弈,御赏不均,皇上赏赐了你一件薄如蝉翼的贡布，却被邻宫偷了。,冷静抓捕盗贼,心机,130,你查出是对手所为，成功将其贬位。,"心机+15;声望+15",你没抓到证据反被说诬陷。,"死亡",求皇上再赐一件,容貌,115,皇上心疼你，将剩下的全给了你。,"圣宠+35;容貌+20",皇上觉得你贪得无厌。,"圣宠-50",1
3145,死局,鸩酒风云,你被指控与外戚勾结，皇上将毒酒放在桌上。,平静写下绝笔信饮下,才情,135,皇上见信泪崩，最后一刻换了真酒。,"圣宠+10;声望+20",你真的死了。,"死亡",指出证据中的伪造痕迹,心机,140,你靠智慧反杀，全宫对你敬畏有加。,"心机+25;声望+15",皇上没听完你的话。,"死亡",0
3146,日常,琴韵切磋,皇上带了一位民间琴师进宫，让你与其比试。,弹奏仙曲震惊琴师,才情,130,琴师下跪认输，皇上赞你为后宫之光。,"才情+35;圣宠+15",你因紧张拨断了三根弦。,"声望-80",请琴师教导新曲,心机,115,皇上赞你虚怀若谷。,"圣宠+25;心机+15",皇上觉得你丢了皇家体面。,"圣宠-40",1
3147,机遇,皇帝噩梦,皇上梦见山河变色，醒来后满头大汗。,温柔讲述锦绣江山,才情,125,皇上在你的描绘中重新振作。,"才情+30;圣宠+15",皇上觉得你没心没肺。,"圣宠-50",用身体温暖他的战栗,容貌,130,你成了他唯一的避风港。,"圣宠+30;容貌+30",皇上推开了你。,"圣宠-30",1
3148,日常,庭院修剪,你在修剪一棵极其珍贵的万年青。,剪出“太平盛世”图,才情,120,皇上赞你不仅手巧，更懂为臣之道。,"才情+20;声望+15",你剪坏了主枝。,"声望-40",请皇上共同动剪,心机,110,两人在花木间笑语盈盈。,"圣宠+30;心机+10",你剪破了皇上的袖子。,"圣宠-30",1
3149,博弈,新人挑衅,一名刚入宫便封了贵人的少女对你极其不逊。,以深厚底蕴压制,声望,130,你一记眼神便令其胆寒，皇上赞你威严。,"声望+20;圣宠+15",对方哭着跑向皇上，你被斥。,"圣宠-15",送其贵重但有瑕疵的首饰,心机,125,她在宴会上出丑，被指仪态不端。,"心机+15",被发现是你的手脚。,"死亡",0
3150,机遇,岁末大封,皇上要在除夕夜晋升一位贵人。,展示一年来的治理功绩,声望,140,你众望所归，正式晋封。,"圣宠+20;声望+15",皇上觉得你野心太大。,"声望-20",陪伴皇上在雪中守岁,容貌,135,皇上感念你的长久陪伴，特旨晋封。,"圣宠+30;容貌+15",你冻晕了。,"体质-50",1
